Title,PostCount,ReplyCount,Excerpt,tag
Can we automate SSRS reports with UiPath?,1,0,"Hi Folks, 
I need to automate a SSRS report which has a lot of data metrics in table form. Can we automate it with UiPath, if yes then how?",it-automation
After uipath update: Input string was not in a correct format,9,7,"Hello I updated Uipath to the latest version. The supplier had developed billing automation for us, but it is now bankrupt. But at the place of “convert” now stops. Maybe you can help how this can be fixed? Thank you in &hellip;",it-automation
Error report connecting Bizagi and Uipath,10,2,"Hello, 
Recently, I’ve tried to connect Bizagi and Uipath, and I found the error because Uipath changed the way of setting tenant. 
If I regularly register tenant using orchestrator like adding service, Bizagi failed aut&hellip;",it-automation
AWS Activities,8,5,"Hi, 
I have been trying to use Amazon activities . 
When I was trying to launch an Instance from Template. I came across this error,Can anyone let me know what the issue is. 
20.4.1 
Source: Create Instance from Launch T&hellip;",it-automation
Scrap informations from website to Exell,1,0,"Hi 
I’m searching for a solution to scrap statistical informations contained  on www.statfoot.be  to an Exell sheet. 
Can anybody help me?",it-automation
UI Element identified and saved is lost/not available when workfile is accessed after a while,3,1,"Hello, 
I created a simple flow of recognizing a webelement and performing some basic actions. I saved the workfile and accessed it after some days.  But the workfile doesnt have the webelement/image stored and says imag&hellip;",it-automation
LinkedIn API - Developers,1,0,"Hello, 
we are using the linkedin API to post jobs there. There has been no problem finding documentation about POSTING jobs but once we post the job, we want to retrieve applicants to see their profile. Is there any API&hellip;",it-automation
Creating NuGet package during CI pipeline,1,0,"Hello, 
I am currently evaluating the use of UiPath for automated GUI-Tests. 
To create reuseable components we would like to group workflows into packages. 
Now i want to create a package on our build server everytime c&hellip;",it-automation
Clearing c drive space on the servers,2,0,"Hi there, 
I urgently want a uipath code or bot of this topic&quot; clearing c drive space on the servers&quot;.please help if anyone has it. 
thanks for help 
regards 
Mitul Choudhary",it-automation
UiPath not able to recognize field element - Full pane highlight,4,1,"Hello UiPath Experts, 
I am facing a weird issue while trying to automate my process in SAP. When I try to use click activity or type into activity, the UiPath is not highlighted that specific field I want to use instead&hellip;",it-automation
Select Checkbox Firefox,3,0,"Hi all, 
i am trying to select the: select all checkbox for the search results ont the following website 
https://dl.acm.org/action/doSearch?AllField=RPA&amp;startPage=0&amp;pageSize=50 
unfortunatley i can not validate the sele&hellip;",it-automation
How to copy & paste values from income statement from excel to word document format,4,2,"Hi, I have a problem with doing Ui Path which is I am not sure which functions to use when copying values from Excel to Word document format. 
For example, I am copying values from excel (P&amp;L) and I will need to paste it&hellip;",it-automation
How to get the columnname of a specific value in a row without getting knowing the column name or row,9,5,"Hi, 
I have a complicated task for me. We have this excel file that is being downloaded from a website, however, the columns in that excel file are inconsistent. 
For example, sometimes excel file has columns A, B, C, D,&hellip;",it-automation
How can İ get certain parts in excel and send it to queue,6,1,"Hey everyone, 
In a excel document. 
I would lıke to get the ID column values ​​where the values ​​in “product” column are equal to “unknown” 
 
like this i want to send the values 4 and 9 to queue 
Thanks in advance,",it-automation
Workbook Password Protect,2,0,"Hello everyone, 
I am trying to protect my excel workbook, I don’t want to use any third party activity. could somebody help me get resolve it through some uipath activity or thru invoke code. 
thanks",it-automation
IT Automation Activities for Active Directory Domain Services,31,20,"Update!

This activity is now available on the Official Stable Feed:



Learn more about it here :point_down:

As the next step in our IT Automation roadmap, we’re excited to announce our Active Directory Domain Service&hellip;",it-automation
How to configre Add incident activity for servicenow,1,0,"Hi All 
I’m trying to add an incident in servicenow from uipath. I’ve configured uipathteam activities. inside servicenow application scope have added “Add incident” activity. Now how should I configure parameters for th&hellip;",it-automation
Issue with ML Extractor - Items,2,0,"Hi 
When I am using the intelligentOCR activities to extract information from a PDF, I am encountering an issue when for the items extraction. When I confirm the extraction for item table it will create a duplicate of th&hellip;",it-automation
Clearing User's Listed Manager using ActiveDirectoryDomainServices.Activites,1,0,I am currently working on trying to set it so that a user’s manager attribute will be cleared or replaced empty. I am using an “Update Object Properties” activity for this action.,it-automation
Activities for Microsoft System Center Orchestrator are now in Public Preview,2,0,":loudspeaker: Activities for Microsoft System Center Orchestrator are now in Public Preview

Description
UiPath.SystemCenter.Activities package offers activities for integrating with Microsoft System Center Orchestrator&hellip;",it-automation
Automation to create a powerpoint presentation,4,2,"Hi Team, 
Is there a specific activity or automation sequence that will allow me to create or build a powerpoint presentation? The logic is if i receive an email with a pre formatted template (excel sheet) on how many sl&hellip;",it-automation
Robot not doing anything when it gets to Get Asset Activity,2,0,"Hello, 
I am new to UiPath, so please forgive me, but I am encountering a strange scenario that I can’t seem to figure out. I am running Studio version 2019.10.3 and have published the code to my test orchestrator. I dow&hellip;",it-automation
Collect many Data in DataTable in type Array and for use later in program,1,0,"Hello, 
Here are  screen shot what I have already created in my program and what I want to create now. As you can see my robot ask me three times for all necessary data about order to send some emails to the customer. Af&hellip;",it-automation
Use UiPath as a tool to test and generate KPIs for quality of group of websites,1,0,"I wanna create robots to fill survey forms for 200 website after run test case on website to check if website meet the KPI or not then fill the form , questions of API like . 
1- If website have multi language or not can&hellip;",it-automation
Form Activity Feature Requirement,1,0,"The Form Activity should have a topmost property. For it is a frequent used Feature in windows. 
Thanks for reading.",it-automation
Form File/Folder Activity Bug and Requirement,1,0,"Bug: 
I’m using Uipath Form Activity 1.1.1. There is a bug of this activity. When I click the Select Button, it shows the file select dialog. Till now it is fine. The bug is  when I click many times before the file selec&hellip;",it-automation
Statement Activities Required,4,2,"Now in workflow control items, there is no such an activities which is to execute a statement without return value. To achive this purpose I need to use an Invoke Code activity. Which need a lot of parameters setting wor&hellip;",it-automation
Get Row items and write it in cells (by incrementing cell index),5,2,"I have 20+ SQL queries
I have to execute that one by one
Get the result (it is a numeric value)
Store that in an Excel sheet.
For example, the first query should be placed in B1, second in B2…Check the screenshot below.
&hellip;",it-automation
How to set calculation mode to manual within Excel application scope when opening an excel file?,3,0,"I have an excel which is full of formulae, 
i noticed when i perform operations in excel scope like copy paste range and delete range its faster when the “Formula&gt;Calculation Options&gt;Manual” is selected. 
 
I tried using&hellip;",it-automation
Issue in getting the count of words,1,0,"Hi, 
I am facing an issue while getting the count of the words… when i am increasing the space between two words then the count of the word is also increasing… 
Screenshot_2020-05-15-19-04-03-708_com.android.chrome|230x5&hellip;",it-automation
Help on Error HRESULT E_FAIL has been returned from a call to a COM component,8,5,"I am using ie 11 and want to click on the below link   
however it throws this error   
Error HRESULT E_FAIL has been returned from a call to a COM component 
i have tried all the solutions suggested from previous questi&hellip;",it-automation
VB.Net Regex,6,2,"Hi all, it has been a while since I asked a question here, I hop all is well, I have a question regarding regex, How can i replace a filenames with dates, now i know how to, i use this vb.net method: fileName.Replace(“.p&hellip;",it-automation
Automating Micro Focus ALM,1,0,"I am attempting to automate usage of the Micro Focus Application Lifecycle Management (ALM) Quality Center (QC) system (Formerly from HP), version 12.55. I can successfully enter the user ID and password, the click Authe&hellip;",it-automation
Extracting data from a datatable,1,0,"Hi 
I am creating a procedure where i have a excel file containing hundreds of rows of data, however i only need access to a few rows, i have created a datatable reading in the necessary rows. 
The next stage is opening &hellip;",it-automation
Click text activity not working,5,2,I have list of acknowledgement numbers of different forms and have web page contains such numbers as hyperlink. I want to download one by one such forms but click text activity is not working. Please assist.,it-automation
Web API,2,0,"Hi All, 
I am trying to connect API with UiPath. I came across few examples and read that ‘UiPath.Web.Activities’ package should be installed to use HTTP request activity, however i am not able to find the package, I am &hellip;",it-automation
Count no of words between comman separated words,2,0,"Datatable contains 
A,b 
A,c,b 
U,k,p,j 
Expected result 
A,b 
As it has only 2 letters 
My req is to fetch the row which has least no of letters",it-automation
User Creation in Orchestrator Database,1,0,"Hi Team, 
Is there any way to provision a user account to login UiPath orchestrator using Database sql from backend. 
We want to establish a process to request a access for Orchestrator and after going through approval r&hellip;",it-automation
Integration of uipath with service now,1,0,"HI all, 
can someone give me summary how the rest api integration is done between uipath and service now… 
any video link is appreciated. 
thanks in adcance:)",it-automation
How To Keep UiPath wait till the Execute Query finished?,8,4,"I have a query that takes 20 to 30 mins to finish execution. I am using “Execute command” activity. But I see time out error. I also tried to increase Timeout in properties, but, it doesn’t work. Can anyone help please?",it-automation
PDF OCR / UiPath Screen OCR Value cannot be null,1,0,"Hi, 
Can anyone solve this problem? 
I have this comment: 
Read PDF With OCR: Error performing OCR: Value cannot be null. 
Parameter name: source ScreenOCRErrorRunningEngine. 
But I am sure that other OCR engine find tex&hellip;",it-automation
Run SQL Server Job,1,0,"Hello everybody. 
I am running a SQL Server Job (with the steps that would be executed manually), opening SQL Server Management Studio, entering the credentials, deploying the SQL Server Agent, finding the name of the Jo&hellip;",it-automation
How to filter datatable using switch case activity,10,7,"Hi All, 
I wanted to filter datatable using switch case activity, what expression should I write in switch. 
Can anyone assist me on it. 
Regards 
Saurav",it-automation
Trim only if the string is not null,3,0,I am writing a string to excel using the WriteCell as “string.Trim”. Now need to add a check whether its not null. Is it possible without using if condition?,it-automation
Is it possible to select items in drop down based up on text in multiple images,4,2,"Hello All, 
               Is it possible to choose the items from drop down in a web site based  upon text in multiple images.

Thanks, 
pranay.",it-automation
Trying to get chatbot response and store data,2,0,i am trying to automate a chatbot in amazon lex . i am qetting sample questions and putting into a amazon lex chatbot .and trying to capture response for every question . is it possible ? . can we make the selector dynam&hellip;,it-automation
Exit a job when a condition is met,3,0,"I want to exit a job when a certain condition is met. Not just simply exit a workflow but stop the robot complete. 
Kind regards 
Jos",it-automation
SAP new vendor or vendor update process,4,2,"Hi, I am new to RPA and I’m wondering for such a standard process as SAP vendor creation or vendor updates (XK01 or XK02) whether there is existing RPA process that can be used to avoid reinventing the wheel. Thanks",it-automation
Enhancing process speed,1,0,"Hello UIPATH, 
Kindly assist with a recommendation on the following: 


My organization’a robotic infrastructure are on a virtual machine; it seems the processes are slow. The RAM is 16GB, max of 2.7GHz processor speed, &hellip;",it-automation
Screen scraping and get text is not working in citrix application,1,0,"Hi All, I have to all get a text in a dropdown list box of a Citrix application but when try to use get text activity it showing error message like below I also tried screen scraping but it’s not working please someone h&hellip;",it-automation
Data scraping running in debug mode but not in run mode,9,6,"Hi Guys, 
Data Scraping runs normally when in debug mode. However, when i run the code, it stops after data scraping and does not execute the next steps. I tried giving a bit of a delay after the scraping activity, but, &hellip;",it-automation
Ejecutar Job de SQL Server,1,0,"Buen día 
Estoy ejecutando un Job de SQL Server (con los pasos con los que se ejecutaría manualmente), abriendo SQL Server Management Studio, ingresando las credenciales, desplegando el SQL Server Agent, buscando el nomb&hellip;",it-automation
Download multiple excel files from website then aggregate those files into one file,2,0,"I’m trying to download multiple excel files from a website then aggregate all those files into one file.  I’m new to UiPath and need some guidance on this issue. 
Thanks, 
Nathan",it-automation
Error using Get Object from Amazon Web Services,1,0,"Hi guys, 
I am trying to use Get Object to check if a Folder/Object already exists. When the Folder/Object exists, everything Ok but When the Folder/Object not exists Uipath break and show me the message below. I am usin&hellip;",it-automation
¿Cómo abrir un archivo que comience por determinado nombre?,4,1,"Buen día 
Tengo un archivo llamado “NombreArchivo 09-04-2020 12 54 p. m…csv” que tiene la fecha y hora de descarga. Necesito buscar el archivo para abrirlo y cambiarle el formato (pero la fecha y hora cambia entonces el &hellip;",it-automation
UIpath API Http Request Problem,7,1,"Hi All 
I have reached a roadblock 
I have an api and I have put down the headers and all 
The request perfectly works in postman and in my own python program which uses requests library. 
I can’t work it out in UiPath. 
&hellip;",it-automation
Copy from excel and paste into a webform,8,2,"Hi Everyone, 
I am a rookie for uipath. In my workflow, I have opened the webform, open the excel, I need copy and paste A1 into webform, then A2 then perform a click in webform. Anyone can help me with copy and paste fr&hellip;",it-automation
BOT types,2,0,Can anybody has the idea what is mean by static Bot and dispatcher Bot?,it-automation
Multiple PDFs Image Data Extraction,1,0,"Hi team! 
I have some pdfs, all contain images in it. I want to extract the data from these images. I used Get OCR Text, Find Image, Click OCR Text, and different OCR engines like Teserract OCR, Google OCR, etc. But sinc&hellip;",it-automation
Can the tooltip be refreshed dynamically on certain condition instead of a timer,1,0,"Hi All, 
I am working on a POC for my client to create a bot which suggests and validates the data entered on an ERP form. A typical example can be a purchase request form. In the below screenshot you will be able to des&hellip;",it-automation
Getting Error While trying to use Type in to activity at save as tab,4,1,"Hey guys, 
Im trying to “save as”  a file but when ım using the “type in to” activity it gives the following error: 
“Type Into ‘Edit’: Object reference not set to an instance of an object.” 
I cannot use the UI Explorer&hellip;",it-automation
Automation,3,0,"Hello, 
I am a beginner in IT and in the RPA course. I have to automate a task, an email (from Outlook) must be registered in a CRM. Is it possible? Is there a tutorial for this? 
Thank you in advance. 
Gulbara",it-automation
ReCaptcha reading text,1,0,"Hi Everyone! 
Am facing issue in reading the recaptcha image/text. Any suggestions? or recommendations? 
Cheers!",it-automation
Important question,4,1,"Hi everyone. 
Plz help me for the below use case 
A folder contains some 300 excel files, and I need to append data of all excels together in one and below is my task to perform via RPA 

Open folder
Read first excel, cl&hellip;",it-automation
How we can read data from config file,6,3,"Hello All! 
I have config file .csv format. I have more than 2 urls with different username and password. 
I need to access each URL and process my value. 
Any Guide! 
Thanks.",it-automation
Unable to extract URL by data scraping in uipath,4,1,"hello, i am trying to scrape data from Resdex (https://freesearch.naukri.com/) using DataScraping. 
When scrape URL for candidates profile, i dont get all the URL in the extracted datatable. Only those URLs are extracted&hellip;",it-automation
"How to specify Internet Explorer's clicking to save, save as",9,4,"Hi everyone, 
My robot downloads a file via internet explorer and ı want to ‘save as’ the document. 
But when i cannot indicate the button it takes the whole tab how can i specify it. ( ı want to click the arrow next to &hellip;",it-automation
How to save a file to a certain location after exporting,7,3,"Hi guys, 
My process exports(downloads) a file from a website, but he file is automatically saved to the downloads folder but i want to save it to another folder. 
how can i do it?",it-automation
HTTP Rest API - Azure DevOps,1,0,"Hi All, 
This action: 
1.56 Read Copy From HTTP (HttpClient)		 
EndPoint = QuerytoCopy	 
Method = POST	 
AcceptFormat = ANY	 
BodyFormat = application/json	 
Body = “{”“ids”“:[60674],”“fields”“:[”“System.AreaPath”“,”“Sys&hellip;",it-automation
Azure DevOps Automation - (NOT for UI Path project version control),1,0,"Hi All, 
Wanting to automate functions in Azure DevOps web app which is a different project. 
Such as: 

Creating new stories (work items) from data in excel
Updating existing stories / acceptance criteria etc from data &hellip;",it-automation
Error for move file to folder,10,5,"Hi, I need to check  number in excel file and if no error will move the file to a folder else will move to another folder. Below are the Ui path i trying and the error i get. Thanks .",it-automation
Web scraping entire page,12,6,"Hello, 
I need help with web scraping. 
My goal is to scrape an entire page and save it to a txt file. Not just the page on the screen but the entire page. I have done some test and the Get Text activities (including the&hellip;",it-automation
How to use if activity to check the number in excel file,5,2,"Hi, i am new in Ui path i need read number in excel and use if activity to show if number in excel more than 10000000 will show yes else show no, what condition should i put in the if activity. Below are the Ui path i tr&hellip;",it-automation
Using A remote machine to build a bot,2,0,"Hi 
I am trying to create a robot which will log into a remote machine and carry out a range of activities, at the moment the robot can successfully log into the remote machine however when its there doesn’t seem to want&hellip;",it-automation
Windows Server Issue,4,1,"Hello, I’m having an issue with the UiPath UiAutomation everytime you try to go into select element mode, it throws this error: 
 
The machine is Windows Server 2012 R2, it has desktop experience and .net framework insta&hellip;",it-automation
Read Range not reading a formula,4,1,"Hi there, 
I’m trying to add a “Read Range” activity in order to read from an excel that contains formula to check the remaining days based on the date from a different cell. Below is the Excel file that i’m trying to re&hellip;",it-automation
How to Get an Process DataTable Items,11,8,"HI, That you in advance for the help here. I am currently building an automation and i am stuc not knowing how to proceed. I have a DataTable that essentially looks like this  
It is a list of orders . The way the table &hellip;",it-automation
ALM Integration with UiPath Tool,3,0,"Hi All, 
Need help! 
I need to Integrate ALM with UiPath Tool. (basically to update test status - Pass/Fail) 
Can somebody help me how to do that? 
Thanks in advance. 
Regards, 
Sujeetkumar Albal 
9740561666",it-automation
How to create a reusable Libraries which returns data and i can use that data in Test scripts,15,10,"Hi, 
I’m new to UIPath Forum, In my Project we are maintaining Test data in Excel sheet. so to read that excel sheets we are creating a libraries and getting the data in Data Table but we are not aware how to Use that Da&hellip;",it-automation
How do I create custom Activity which has looks similar to Build DataTable where user can add multiple rows (multiple instances) but columns would be certain arguments to a method,5,2,"Hi All, 
@DeanMauro, @Forum_Staff 
How do I create custom Activity Like Build DataTable with difference where user can add multiple rows by clicking on plus sign but columns are fixed. 
Please share some sample code for &hellip;",it-automation
How to select a specific task on a browser?,3,2,"Hi everybody, I’m starting my adventure with RPA I have a problem with my robot. 
How to design a robot and select a specific task on a web page after clicking on the browser e.g.: I have five tasks of which I have to ma&hellip;",it-automation
ID changing every time in SAP application,7,3,"Hi, 
I am automating the SAP application using uipath. I am using basic recording activity in uipath. 
But thing is ID in SAP application is changing every time. i used UI explorer to find other attributes like Parent id&hellip;",it-automation
Excel sorting and removing duplicate,3,0,"Hi All, 
I am working on automation of Excel where I need to sort the data in descending order and remove the duplicate. 
The column on which I have to apply sort condition contains date. 
So all data will be sorted in d&hellip;",it-automation
Unable to get authentication token while connecting to orchestrator via powershell,12,6,"I am writing powershell script to create a tenant in orchestrator. In order to do that I am trying to fetch authentication token using below script, but it does not seem to work. 

$authToken = Get-UiPathAuthToken -URL $&hellip;",it-automation
Need help : Execution on webpage,4,1,"I have attached a webpage where I have to do certain operation. 
I have highlighted an icon where I have to click and provide essential 
information and save it. Same operation I have to do for each and every record. 
Si&hellip;",it-automation
Need to find new error line following the timestamp,3,0,"Hello All, 
I have a text file with large number of error details, I need to extract the current error based on timestamp. 
Whenever the file gets updated with a new error, We need to fetch the new error. 
I have attache&hellip;",it-automation
How do I Test my automation once I have generated output to a headless Chrome browser?,1,0,"Good morning UiPath Forum, 
I am following up on my earlier post 
What scenarios are benefited by using a Headless Browser?. 
@Palaniyappan you were super helpful in your response. 
I have followed through configuring my&hellip;",it-automation
How to make dynamic path,9,6,How to make dynamic path so that it work on every where,it-automation
Upload DLL in Manage Packages,4,2,"Hi, 
I have one DLL file which I want to use it in my project. What should I do so that DLL file should come in “Manage Packages” and we can install in our Project?",it-automation
Orchestrator available as PAAS from Azure marketplace does not support multi tenancy?,3,0,"I am using UIPath Orchestrator as PAAS from azure masketplace . This does not show the option for creating multiple tenants. 
I have already tried setting tenant registration settings in Web.config file. 

add key=“Tenan&hellip;",it-automation
DEVOPS for UIPATH- Updating Process,7,4,"I am exploring on DEVOPS features for UIPATH projects. I have used Jenkins and able to build and deploy the package. 
Once new package is deployed we need to update the process. Is there any way to automate or any comman&hellip;",it-automation
"IT Automation activities (Active Directory, VMWare, Exchange, AWS) are now on the Official Feed",3,0,":loudspeaker: IT Automation activities are now available on the Official Stable Feed
If you follow us closely, you might have noticed these five activities packages that were recently released for public preview: 


Act&hellip;",it-automation
Need to Migrate from Resolve Systems to UiPath,1,0,"Hi, 
I’m looking to track down any documentation that details: 
A) Is it possible to migrate from Resolve Systems to UIPath 
B) How is it done 
Any feedback would be greatly appreaciated",it-automation
Insert Datatable to Database Table using UIPATH activity( using stored procedure or some other efficient way),3,0,I have a datatable DT with 25 columns .I want to insert the data from DT to sql table SQDT with same columns .I’m using Insert Query for now Is there a better way to approach this problem instead of using Insert on each &hellip;,it-automation
Citrix Activities are now in Public Preview,11,4,"Update
This package is now available on the official feed! 
 

Description
UiPath.Citrix.Activities package offers activities for XenServer 7.x and Citrix Hypervisor 8.0 virtualized infrastructures. 
This initial set of&hellip;",it-automation
Download Orchestrator,4,0,"I already have my developer and Production licenses for Orchestartor, from where can I download the software?",it-automation
Get Text activity approximately taking 60 to 120 seconds when running the bot in background,1,0,"Get Text activity taking 1 to 3 minutes when the bot running background. 
Running perfectly fine(Grabbing the test in fraction of seconds) when it runs in Studio or running while I open that host machine logged in. 
And &hellip;",it-automation
The process should recover and retry 2 times in case of errors in navigation,3,0,"hi, I have to request this request: &quot; The process should recover and retry 2 times in case of errors in navigation…&quot; 
I changed the parameter MaxRetryNumber in config to 2 but it doesn’t work. Can you tell me how to hook&hellip;",it-automation
Possibilities of UiPath methods to upload multiple files to multiple links at once,1,0,"Hi, 
I am trying to build a robot that can give options to select files from local or cloud storage and then upload the selected files to the respective folders inside a website. 
Please provide your suggestions on how t&hellip;",it-automation
How to connect Azure Data Studio with UiPath Studio 2018,1,0,"I want to execute query from Azure Data Studio database, and save result table in datatable ? 
Please help me with any package need to install.",it-automation
Not able to run UIRobot.exe after release of new version of UIPath,7,4,"Hi, 
I am not able to run UIPath Robot.exe after new release - 19.8.0. 
Earlier I was able to run this robot by below my code using Command prompt. now it is not working and giving me this Error. 
***My Code:- 
subproces&hellip;",it-automation
Automation in MS Project,4,2,"Hello, 
is it possible to have the automation build on MS Project? I tried on excel activities but it’s not working as expected. 
Any suggestions or help? 
BR, 
Manisha",it-automation
UnEncountered popup issue in citrix environment,4,1,"Hi Team, 
We have done automation of the desktop application in citrix environment.While run the Bot on stage environment,we are getting desktop application error popup which is unknown for us and it can appear in any sc&hellip;",it-automation
I am getting error while creating terminal connection,3,0,"I Friends 
I am getting a connection error in terminal session while creating a connection.",it-automation
Getting values,3,1,How to get values from screen-shot which has drop down list ?,it-automation
New Virtual Machine Old packages were not included,3,1,"Hi, we had an issue for a new remote desktop, a robot was looking for an old package and resulting to an issue, but the update only gives the new package. what would be the automatic way to download/update the local of t&hellip;",it-automation
About the Automation Suite category,1,0,Help around our Automation Suite.,automation-suite
"Automating Web page handling without VMs, just using DOM and HTML interpretation",5,1,"Hello 
Im new to UiPath and im trying to find easily if its able to handle DOM/HMTL full interpretation without a VM. Allocating and deallocating VMs is a pain ,expensive and slow. 
I would like to ask directions on the &hellip;",automation-suite
Data Extraciton from PDF tables,5,1,"Pls elaborate the best way to extract data from row in PDFs. Here issue is multiple PDFs generates by system and number of rows in each PDF are not constant,  but COLUMNs remain same.  ROWs count changing in each PDF. BO&hellip;",automation-suite
Can I run 3 unattended robot if I only activate 1 unattended robot at 1 time,5,1,"I have 3 unattended robots which running at different times. 
Robot A will run only at 8-10 am 
Robot B will run only at 12am-18am 
Robot C will run only at 0am - 5am 
So can I config to run 3 robots with only 1 license &hellip;",automation-suite
Automation Suite and Openshift,13,10,"Hi Everyone, 
I would like to ask if i can install UiPath Automation Suite with Openshift or no also what is the best practice for robots VMs is to avail detected VM for every robot or add more than one robot on the same&hellip;",automation-suite
For read range activity,14,9,for read range activity which package need to install in ui path,automation-suite
Failure during upgrade to 2022.10.0 (infra stage),3,1,"2022-10-07T12:27:11.4467178Z     [INFO] [2022-10-07T12:22:07+0000]: Longhorn default settings found with storageOverProvisioningPercentage set to 100
2022-10-07T12:27:11.4470402Z     [INFO] [2022-10-07T12:22:07+0000]: In&hellip;",automation-suite
How to connect AWS Lambda to UIPath,2,0,"Hey, can anybody help me in connecting AWS Lambda to UIPath. I want to hit the Lambda from uipath and retrieve response.",automation-suite
Erro Login SSO Automation Hub - user domain did not match the list of configured allowed domainsallowed domains,2,0,"Guys, I have the error in the HUB using the automatic login (SSO) for all people who have the domain @usiminas.com working very well, but for the employees of one of the companies of the group with the domain @solucoesus&hellip;",automation-suite
Reg RE Framework I need to terminate error transaction item and move to next item in queue,6,2,"About my automation -Using RE Framework I am getting input data from excel sheet and load them in queue and then executing each steps in application  . 
Scenario 
E.g. Let say i have 25 steps in my automation and in-betw&hellip;",automation-suite
Can UI Path bots replace batch programs?,2,0,"Hi, 
I am looking for a way to get rid of a few batch programs in my Web Application and use UI path. 
I work for a large company, and we can get the enterprise license, if I can prove that this solution will save money. &hellip;",automation-suite
Generating test report once the test execution is completed,5,2,"Hi All, 
This might be the old topic but i find no concrete solution for the problem statement hence want to reiterate with the solution i tried. 
I am utilizing UIPATH purely for the test automation, to automate all the&hellip;",automation-suite
Need to Perform some steps before RE Framework start,8,4,"Hi , 
I am new to RE Framework Automation and I want to run some Steps 
before my RE framework automation starts . Can someone help me how we can run my Automation steps ? 
I want to perform below one  time steps before &hellip;",automation-suite
[Task] - How to read a Word Document and write in the Application as per certain criteria,2,0,"Prerequisite: A Schedule is given on a Weekly basis where there are security guards present on particular sites for particular times. 
Chennai Port:  587-2076 
CSS	Sat	Sun	Mon	Tue	Wed	Thu	Fri 
Time/Hours	 12/03	12/04	12/&hellip;",automation-suite
How can I extract the last row from the given data using Reg EX,7,0,"Hi All, 
I want to extract the last row and second last row (separate) from below string using Reg-Ex 
Delivery - Additional Information Requested - 2022-08-29 15:46:51 - a.als.a 
Delivery - Open - 2022-09-05 09:45:54 - &hellip;",automation-suite
Debugging Active directory integration with kerberos,2,0,"User login to Automation Suite
When there are user login issues to Automation Suite even after following these steps, please follow the steps below to debug the issue. 

Check if Kerberos is configured successfully if y&hellip;",automation-suite
HOW TO DEVELOP BANK RECONCILIATION BOT FOR XERO,1,0,"Hello, 
how do i build bot for xero reconciliation.",automation-suite
How to Filter Data Table Using A List of Values,4,0,"I have a data table that I wish to Filter based on a list of Customer values. Instead of listing each customer value separately, how would I code the Filter to use “Contains” and place customer values in a List.",automation-suite
To get count from 2 tables on specific conditions,7,3,"Hi everyone , 
Need to fetch from database. 
I have issue with combining the query for getting count from 2 tables… i have 2 tables, from table1 i need  to take user id as referrence and take the count from both table. I&hellip;",automation-suite
Issue about setting Automation Suite: DNS Validation Failed from container,5,2,"Hello, 
There is an error in the Automation Suite installation step, please help me to fix it 
“DNS Validation Failed from container”",automation-suite
Single Node Installation - Help,4,1,"Hello everyone :smiling_face: 
I am facing an error during single node installation in linux machine. Help me to fix the issue. The issue details attached in below screenshot image.",automation-suite
HOW IS AUTOMATION IMPORTANT IN AI?,3,0,"The automation is important in RPA. If it is important so how could, I use it what were the preferences of automation suite. And how to download a suite in a laptop.",automation-suite
Automation suite deployment with azure cloud,6,2,"Hello everyone 
does anyone have a video tutorial or a simple document that describes the steps for deploying a project on cloud azure with automation suite 
Thank you in advance",automation-suite
Cloud Azure deployment,4,0,"Hello 
I want to use the automation suite to deploy my project. 
I’m using Cloud Azure 
Does it require the same prerequis as the on prem? 
The picture below has prerequists are they the ones needed in Azure deployment? 
&hellip;",automation-suite
Apps Tab keep on loading Not Opening,1,0,"Dear Developers, 
I have a sudden problem showing up, I am using #build:automation-suite utomation-suite and since yesterday I am not able to access Apps page rest of the things working fine (Data service, Orch. integrat&hellip;",automation-suite
"Office 365 Application functionality test for Word, Excel, PowerPoint",1,0,"Hello, 
I am new to UiPath. 
I am creating Office 365 Application functionality test for Word, Excel, PowerPoint, and Outlook. Because of licensing limitation, the BOT are to be run from the studio machine to remote test&hellip;",automation-suite
Automation Suite - Airgapped Install Restrictions in an Non-Airgapped environment,7,1,"Hi Team, 
Quick question 
If we do an airgapped installation in a non-airgapped environment (with internet), just for the sake of trying airgapped install procedures, can it still be considered a non-airgapped environmen&hellip;",automation-suite
How to filter out/remove cells that contains empty,7,3,"Hello everyone, 
I was wondering how can I filter out and remove the cells that contains empty in an excel file? 
From 
 
To 
 
I have tried to use the filter wizard, but it would not filter and remove the cells out",automation-suite
"There is an error in XML document (2,16)",3,0,"Hello, 
I’m unable to authenticate to my work Tableau server. I used my credentials but got error 
&#39;There is an error in XML document (2,16). I’m the first one in my office to embark on the journey to automate Tableau re&hellip;",automation-suite
Test manager server url and api key,4,1,how can I get uipath cloud test manager server url and api key when i use azure devops uipath test-manager plugin,automation-suite
한 번에 데이터테이블의 컬럼을 복사하는 방법,2,0,"Datatable 1 안에 있는 데이터를 Datatable 2로 복사할 때 
필요한 컬럼만 순서를 바꿔서 한번에 가능할까요?",automation-suite
Automation suite - Deploy issue (Online single-node evaluation installation-Basic),3,0,"Hey all ! 
I am trying to deploy the Automation suite on the Linux machine, but I faced the below issue, appreciate any support please :grimacing: 
Linux: RHEL 8.4: 
Automation Suite: Manuel - Online single-node evaluati&hellip;",automation-suite
